Bill Number,Title,Sponsors,Status,Current Location/Referral,Last Action Date
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=84&year=26"" target=""_blank"">*HB  84</a>",EXPOSURE TO CERTAIN DRUGS AS CHILD ABUSE,Gail Armstrong,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=85&year=26"" target=""_blank"">HB  85</a>",MEDICAL PROVIDER LOAN-FOR-SERVICE PGMS,Joseph L. Sanchez; Sarah Silva; Joseph Franklin Hernandez; Rebecca Dow; Jack Chatfield,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=86&year=26"" target=""_blank"">HB  86</a>","CHILDREN, YOUTH AND FAMILIES COMMISSION",Eleanor Chávez,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=87&year=26"" target=""_blank"">HB  87</a>",SOTERIA MODEL RESIDENTIAL TREATMENT FUNDING,Joanne J. Ferrary,HHHC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=88&year=26"" target=""_blank"">HB  88</a>",LAND GRANT-MERCED ASSISTANCE FUND CHANGES,"Matthew McQueen; Elizabeth ""Liz"" Stefanics; Pete Campos",Sent to SFC - Referrals: SFC,Senate Finance Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=89&year=26"" target=""_blank"">HB  89</a>",COMPUTER SCIENCE TEACHER LICENSURE,Anita Gonzales; Debra M. Sariñana; Yanira Gurrola; Heather Berghmans,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=90&year=26"" target=""_blank"">HB  90</a>",HEALTH CARE PRECEPTOR INCOME TAX CREDIT,Anita Gonzales; Marianna Anaya; Leo Jaramillo,HHHC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,House Taxation & Revenue Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=91&year=26"" target=""_blank"">HB  91</a>",CHANGE IN CAUSE OF DEATH DISCLOSURE EXCEPTION,Marian Matthews,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=92&year=26"" target=""_blank"">HB  92</a>",SENIOR INCOME TAX DEDUCTION,Elaine Sena Cortez; Cathrynn N. Brown,Sent to HCEDC - Referrals: HCEDC/HTRC,House Commerce & Economic Development Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=93&year=26"" target=""_blank"">HB  93</a>",STANDARD INCOME TAX DEDUCTION INCREASE,Elaine Sena Cortez; Rebecca Dow,HGEIC: Reported by committee with Do Pass recommendation,House Taxation & Revenue Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=94&year=26"" target=""_blank"">HB  94</a>",BOARD OF OPTOMETRY POWERS AND DUTIES,"Dayan Hochman-Vigil; Elizabeth ""Liz"" Stefanics",Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=95&year=26"" target=""_blank"">HB  95</a>",ADDITIONAL SECOND JUDICIAL DISTRICT JUDGESHIP,Dayan Hochman-Vigil,Sent to SJC - Referrals: SJC/SFC,Senate Judiciary Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=96&year=26"" target=""_blank"">HB  96</a>",SPACE COMMISSION WORKING GROUP,Dayan Hochman-Vigil; Rebecca Dow,Sent to SRC - Referrals: SRC,Senate Rules Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=97&year=26"" target=""_blank"">HB  97</a>",SHAKEN BABY SYNDROME PREVENTION FUNDING,"Elizabeth ""Liz"" Thomson; Michelle Paulene Abeyta",HHHC: Reported by committee with Do Pass recommendation,Scheduled for House Appropriations & Finance Committee                                                                                                                                                                                                                        on 2/15/2026,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=98&year=26"" target=""_blank"">HB  98</a>",STATE EMPLOYEE SALARY & RETENTION CHANGES,Patricia Roybal Caballero; Pamelya Herndon,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=99&year=26"" target=""_blank"">HB  99</a>",MEDICAL MALPRACTICE CHANGES,Christine Chandler; Gail Armstrong; Dayan Hochman-Vigil; Sarah Silva; Doreen Y. Gallegos,Sent to SJC - Referrals: SJC,Senate Judiciary Committee,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=100&year=26"" target=""_blank"">HB 100</a>",STEM INNOVATION NETWORK FUNDING,Anita Gonzales; Debra M. Sariñana; Joy Garratt,HEC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=101&year=26"" target=""_blank"">*HB 101</a>",REGIONAL FARM TO FOOD BANK FUNDING,"Joanne J. Ferrary; Rebecca Dow; Elizabeth ""Liz"" Stefanics; Gail Armstrong",HAAWC: Reported by committee with Do Pass recommendation with amendment(s),House Appropriations & Finance Committee,01/27/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=102&year=26"" target=""_blank"">HB 102</a>",LEGISLATIVE COMPENSATION,Cristina Parajón; Cindy Nava,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=103&year=26"" target=""_blank"">HB 103</a>",CAP RESIDENTIAL PROPERTY TAX RATES,Cristina Parajón; Heather Berghmans; Rod Montoya,Sent to STBTC - Referrals: STBTC,"Senate Tax, Business and Transportation Committee",02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=104&year=26"" target=""_blank"">HB 104</a>",COUNTY & TRIBAL HEALTH COUNCILS ACT FUNDING,"Tara L. Lujan; Joseph Franklin Hernandez; Elizabeth ""Liz"" Stefanics; Elizabeth ""Liz"" Thomson",HHHC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=105&year=26"" target=""_blank"">HB 105</a>",CHILD OFFENDER COMMITMENT EXTENSIONS,Andrea Reeb,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=106&year=26"" target=""_blank"">HB 106</a>",HOME-BASED CHILD CARE INCOME TAX CREDIT,Mark Duncan; Luis M. Terrazas,Sent to HCEDC - Referrals: HCEDC/HTRC,House Commerce & Economic Development Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=107&year=26"" target=""_blank"">HB 107</a>",MEDICAL MALPRACTICE CLAIM CHANGES,Jenifer Jones; Catherine J. Cullen; Nicole Chavez,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=108&year=26"" target=""_blank"">HB 108</a>",WATERSHED DISTRICT TAXES AND DIRECTORS,Rebecca Dow; Susan K. Herrera,Sent to STBTC - Referrals: STBTC,"Senate Tax, Business and Transportation Committee",02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=109&year=26"" target=""_blank"">HB 109</a>",WATER PROJECT FUND CHANGES,Joy Garratt; Susan K. Herrera; Micaelita Debbie O'Malley,SCONC: Reported by committee with Do Pass recommendation,Scheduled for Senate Calendar                                                                                                                                                                                                                                                 on 2/15/2026,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=110&year=26"" target=""_blank"">HB 110</a>",HOUSING DEVELOPMENT DATA REPORTING,Cristina Parajón,HRDLC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,"House Government, Elections & Indian Affairs Committee",02/03/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=111&year=26"" target=""_blank"">HB 111</a>",WATER LAW VIOLATION MAXIMUM PENALTY,"Kristina Ortez; Mimi Stewart; Andrea Romero; Elizabeth ""Liz"" Stefanics; James G. Townsend",SCONC: Reported by committee with Do Pass recommendation,Scheduled for Senate Calendar                                                                                                                                                                                                                                                 on 2/15/2026,02/14/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=112&year=26"" target=""_blank"">HB 112</a>",DAYLIGHT SAVING TIME YEAR-ROUND,John Block,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=113&year=26"" target=""_blank"">HB 113</a>",RENEWABLE ENERGY PRODUCTION TAX ACT,John Block,Sent to HENRC - Referrals: HENRC/HTRC,"House Energy, Environment & Natural Resources Committee",01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=114&year=26"" target=""_blank"">HB 114</a>",EXPAND DOUBLE UP FOOD BUCKS PGM,Rebecca Dow; Tara L. Lujan; Rex Wilson; Gail Armstrong; Pat Woods,HHHC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=115&year=26"" target=""_blank"">HB 115</a>",PROTECTIONS FOR NURSES INVOKING SAFE HARBOR,"E. Diane Torres-Velásquez; Elizabeth ""Liz"" Stefanics",Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=116&year=26"" target=""_blank"">HB 116</a>",BILINGUAL MULTICULTURAL EDUCATION ACT CHANGES,E. Diane Torres-Velásquez,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=117&year=26"" target=""_blank"">HB 117</a>",HIGHER ED DEMOGRAPHIC DATA REPORTING,E. Diane Torres-Velásquez,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=118&year=26"" target=""_blank"">HB 118</a>",BILITERACY DEVELOPMENT AND TRAINING PROJECT,Yanira Gurrola,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=119&year=26"" target=""_blank"">HB 119</a>",BILINGUAL LICENSE ENDORSEMENT PGM UNITS,Yanira Gurrola,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=120&year=26"" target=""_blank"">HB 120</a>",LIMITING STUDENT RESTRAINT & SECLUSION,"Yanira Gurrola; E. Diane Torres-Velásquez; Natalie Figueroa; Elizabeth ""Liz"" Thomson; Patricia Roybal Caballero",SEC: Reported by committee with Do Pass recommendation,Senate Judiciary Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=121&year=26"" target=""_blank"">HB 121</a>",STATE INVESTMENT OFFICER AND FUND CHANGES,Sarah Silva,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=122&year=26"" target=""_blank"">HB 122</a>",EXPAND LIMITATION ON MUNICIPAL ANNEXATION,Cynthia Borrego,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=123&year=26"" target=""_blank"">HB 123</a>",STATE AND FED SCHOOL GRANT PGMS,Tara L. Lujan,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=124&year=26"" target=""_blank"">HB 124</a>",NEW AMERICANS DIVISION IN WSD,Cristina Parajón; Cindy Nava; Reena Szczepanski; Raymundo Lara; Yanira Gurrola,Sent to SRC - Referrals: SRC/SFC,Scheduled for Senate Rules Committee                                                                                                                                                                                                                                          on 2/15/2026,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=125&year=26"" target=""_blank"">HB 125</a>",DELINQUENCY ACT CHANGES,Andrea Reeb,Sent to HCPAC - Referrals: HCPAC/HJC,House Consumer & Public Affairs Committee,02/05/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=126&year=26"" target=""_blank"">HB 126</a>",PROHIBIT NONDISCLOSURE & NONDISPARAGEMENT,Reena Szczepanski; Dayan Hochman-Vigil,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=127&year=26"" target=""_blank"">HB 127</a>",MEDICAL BOARD EXPEDITED LICENSURE,Reena Szczepanski; Linda M. López; Tara L. Lujan; Joseph L. Sanchez; E. Diane Torres-Velásquez,Sent to SHPAC - Referrals: SHPAC,Senate Health and Public Affairs Committee,02/12/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=128&year=26"" target=""_blank"">HB 128</a>",FIREFIGHTER OCCUPATIONAL DISEASE DISABLEMENT,Reena Szczepanski; Cindy Nava; Patricia Roybal Caballero; Cynthia Borrego; Charlotte Little,Sent to SHPAC - Referrals: SHPAC,Senate Health and Public Affairs Committee,02/11/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=129&year=26"" target=""_blank"">HB 129</a>",HEALTH CARE PROVIDER COVERAGE,Pamelya Herndon,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=130&year=26"" target=""_blank"">HB 130</a>",CYFD DOMESTIC VIOLENCE PGMS FUNDING,Pamelya Herndon,HHHC: Reported by committee with Do Pass recommendation,House Appropriations & Finance Committee,01/28/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=131&year=26"" target=""_blank"">HB 131</a>",PLANNING BUREAU IN EDD,Cynthia Borrego,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=132&year=26"" target=""_blank"">HB 132</a>",POLICE OFFICER WORKERS COMP CONDITIONS,Cynthia Borrego; Marian Matthews; Nicole Chavez; Andrea Reeb; Luis M. Terrazas,HLVMC: Reported by committee with Do Pass recommendation with amendment(s),House Health & Human Services Committee,02/13/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=133&year=26"" target=""_blank"">HB 133</a>",GENERAL APPROPRIATION ACT OF 2026,Nathan P. Small; Meredith A. Dixon,Sent to HAFC - Referrals: HAFC,House Appropriations & Finance Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=134&year=26"" target=""_blank"">HB 134</a>",UNLAWFUL INSTALL OF GPS SYSTEM,Yanira Gurrola; Joy Garratt,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=135&year=26"" target=""_blank"">HB 135</a>",ELECTION NOMINATING PETITION CHANGES,Matthew McQueen,Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=136&year=26"" target=""_blank"">HB 136</a>",HEALTH INSURANCE CREDENTIALING,"Kathleen Cates; Elizabeth ""Liz"" Thomson; Elizabeth ""Liz"" Stefanics",Not Printed,House Rules & Order of Business Committee,01/22/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=137&year=26"" target=""_blank"">HB 137</a>",STOCKING OF CERTAIN DRUGS IN PHARMACIES,"Elizabeth ""Liz"" Thomson",HHHC: Reported by committee with Do Not Pass but with a Do Pass recommendation on Committee Substitution,House Appropriations & Finance Committee,02/04/2026
"<a href=""https://www.nmlegis.gov/Legislation/Legislation?chamber=H&legType=B&legNo=138&year=26"" target=""_blank"">HB 138</a>",ZONING LOT SIZE REQUIREMENTS,Andrea Romero,Referred to: HRC,House Rules & Order of Business Committee,01/26/2026
